               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071207,            0.024628,            0.040262,             0.81717,            0.024194,             0.01524,           0.0032598,            0.050868,            0.010141,            0.028986,            0.070115,           0.0033206,           0.0033206
                   1,            0.061901,            0.025096,            0.037748,             0.55028,             0.15591,            0.082039,            0.033653,             0.04259,            0.012709,             0.02755,            0.039675,           0.0062148,           0.0062148
                   2,            0.056166,            0.023925,            0.032285,             0.40385,             0.75632,             0.43801,             0.17102,            0.036124,           0.0080571,            0.016805,           0.0087962,            0.008669,            0.008669
                   3,            0.049614,            0.021272,            0.027373,             0.48562,             0.65676,             0.66165,             0.34019,            0.034332,           0.0063085,            0.015518,             0.00802,             0.00802,             0.00802
                   4,            0.043153,             0.01956,            0.022944,             0.84756,             0.86736,             0.86491,              0.4645,             0.02784,           0.0052605,           0.0051859,             0.00802,             0.00802,             0.00802
                   5,            0.040995,            0.018079,            0.020046,             0.93952,              0.9227,             0.93596,             0.48498,            0.028636,           0.0045326,           0.0030466,             0.00736,             0.00736,             0.00736
                   6,            0.036913,            0.017252,            0.016799,             0.97984,             0.95528,             0.97913,             0.60308,            0.024435,           0.0043144,           0.0016385,              0.0067,              0.0067,              0.0067
                   7,             0.03573,            0.016567,            0.016407,             0.97758,             0.96647,             0.97642,             0.60672,             0.02412,           0.0040236,           0.0024184,             0.00604,             0.00604,             0.00604
                   8,            0.035337,            0.015836,             0.01576,             0.99199,             0.98011,             0.98555,             0.58068,            0.022303,           0.0037706,          0.00093133,             0.00538,             0.00538,             0.00538
                   9,            0.032913,            0.015193,            0.014305,             0.99116,              0.9668,              0.9797,             0.62008,            0.021521,             0.00374,           0.0011003,             0.00472,             0.00472,             0.00472
                  10,            0.031661,             0.01452,            0.013369,             0.97937,             0.98055,             0.98305,             0.66136,            0.018249,           0.0036514,          0.00090119,             0.00406,             0.00406,             0.00406
                  11,            0.029775,            0.014146,            0.011996,             0.99087,             0.99238,             0.99006,              0.6734,            0.017549,           0.0033977,          0.00074515,              0.0034,              0.0034,              0.0034
                  12,            0.028271,            0.013744,            0.011503,             0.99427,             0.98456,             0.98637,             0.69016,            0.018411,           0.0032284,          0.00050117,             0.00274,             0.00274,             0.00274
                  13,            0.027265,            0.013538,            0.010368,             0.99474,             0.99485,             0.99214,             0.68971,            0.016977,           0.0031236,          0.00048771,             0.00208,             0.00208,             0.00208
                  14,             0.02586,              0.0132,           0.0095554,             0.99683,             0.99157,             0.99031,             0.73243,            0.017134,           0.0029645,           0.0004531,             0.00142,             0.00142,             0.00142
