               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070859,            0.024307,            0.040006,            0.019978,            0.018817,           0.0073047,           0.0019468,            0.050962,           0.0099679,            0.029632,            0.070115,           0.0033206,           0.0033206
                   1,            0.062638,            0.024786,            0.039549,            0.080765,             0.28637,            0.083337,            0.033355,            0.043111,            0.011893,            0.028764,            0.039675,           0.0062148,           0.0062148
                   2,            0.055231,            0.023605,            0.038034,             0.11009,              0.2641,             0.11105,            0.045161,            0.037844,            0.008099,            0.033092,           0.0087962,            0.008669,            0.008669
                   3,            0.047214,            0.021327,            0.030822,             0.48385,             0.54093,             0.55496,              0.2582,            0.033577,           0.0065336,            0.019094,             0.00802,             0.00802,             0.00802
                   4,            0.041579,            0.019852,            0.026368,             0.76565,             0.78345,             0.82098,             0.44193,            0.028478,           0.0054406,           0.0089901,             0.00802,             0.00802,             0.00802
                   5,            0.039052,            0.018454,            0.022708,             0.74499,             0.65792,             0.73409,             0.39047,            0.030753,           0.0056209,            0.013731,             0.00736,             0.00736,             0.00736
                   6,            0.036465,            0.016927,            0.019878,             0.95442,             0.93522,             0.96708,             0.57887,            0.023285,           0.0044275,           0.0032994,              0.0067,              0.0067,              0.0067
                   7,            0.034206,             0.01616,            0.017728,             0.97188,              0.9352,             0.96693,             0.57671,            0.024281,           0.0041254,           0.0025309,             0.00604,             0.00604,             0.00604
                   8,            0.032841,            0.015555,            0.015965,             0.98022,             0.97592,             0.97503,             0.64305,            0.020515,           0.0038829,           0.0018034,             0.00538,             0.00538,             0.00538
                   9,            0.030185,            0.014788,            0.015532,              0.9669,             0.92711,              0.9738,             0.62528,            0.021299,           0.0036941,           0.0026271,             0.00472,             0.00472,             0.00472
                  10,            0.029584,            0.014665,            0.014646,             0.99327,             0.98375,             0.98544,             0.68597,            0.019067,           0.0033151,          0.00086609,             0.00406,             0.00406,             0.00406
                  11,            0.028235,            0.014003,            0.013388,             0.99064,             0.98347,             0.98802,             0.70272,            0.017377,            0.003347,            0.001666,              0.0034,              0.0034,              0.0034
                  12,             0.02763,            0.013778,            0.012399,             0.99759,             0.98932,             0.98958,             0.68021,            0.018015,           0.0033191,          0.00069383,             0.00274,             0.00274,             0.00274
                  13,            0.026291,            0.013517,            0.012148,             0.99318,             0.99224,             0.99102,             0.74614,            0.014457,           0.0030892,          0.00074558,             0.00208,             0.00208,             0.00208
                  14,            0.025491,            0.013003,            0.011737,             0.99722,             0.98511,              0.9908,             0.75549,             0.01451,           0.0030217,          0.00070607,             0.00142,             0.00142,             0.00142
