               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070661,            0.024709,            0.039711,           0.0013766,              0.4067,           0.0035161,           0.0010331,            0.051557,           0.0096869,            0.029685,            0.070115,           0.0033206,           0.0033206
                   1,            0.061733,            0.025367,            0.039176,            0.003068,             0.91444,             0.12849,            0.045533,            0.039639,            0.010039,            0.029287,            0.039675,           0.0062148,           0.0062148
                   2,            0.053864,            0.024719,            0.038531,             0.18184,             0.46323,             0.19822,            0.077895,            0.032252,           0.0092606,            0.028435,           0.0087962,            0.008669,            0.008669
                   3,            0.045089,             0.02279,             0.03736,             0.25977,             0.72837,             0.42269,             0.24364,            0.029183,           0.0066411,            0.023645,             0.00802,             0.00802,             0.00802
                   4,            0.040792,            0.020274,            0.032117,             0.59821,             0.76782,             0.64989,             0.33067,            0.028095,           0.0068067,            0.018481,             0.00802,             0.00802,             0.00802
                   5,            0.039241,            0.019218,            0.028361,             0.65792,             0.78118,             0.77563,             0.41753,            0.027513,           0.0055778,            0.014019,             0.00736,             0.00736,             0.00736
                   6,            0.035756,            0.017793,             0.02523,             0.89052,              0.8756,             0.90693,             0.46499,            0.025413,           0.0050907,            0.008399,              0.0067,              0.0067,              0.0067
                   7,            0.035558,            0.017455,            0.023185,             0.95553,             0.91046,             0.94693,             0.49862,             0.02356,           0.0046405,           0.0051824,             0.00604,             0.00604,             0.00604
                   8,            0.033379,            0.016649,            0.020892,             0.96215,             0.94393,             0.96802,             0.62275,            0.020203,           0.0043655,           0.0028412,             0.00538,             0.00538,             0.00538
                   9,            0.031556,            0.016018,            0.019134,             0.95898,             0.92409,              0.9639,             0.66357,            0.019193,           0.0044495,           0.0025383,             0.00472,             0.00472,             0.00472
                  10,            0.030489,            0.015792,            0.017619,             0.95702,             0.95219,              0.9763,             0.61141,            0.020016,           0.0040703,           0.0027893,             0.00406,             0.00406,             0.00406
                  11,            0.030493,              0.0154,            0.016649,             0.98559,              0.9516,             0.97176,             0.64645,            0.019428,           0.0039259,           0.0020491,              0.0034,              0.0034,              0.0034
                  12,             0.02898,            0.015106,            0.015064,             0.98118,             0.96169,              0.9826,             0.66274,            0.018352,           0.0038013,           0.0016114,             0.00274,             0.00274,             0.00274
                  13,            0.027805,            0.014722,            0.013939,             0.97999,             0.95921,             0.97432,             0.65333,            0.018003,           0.0036839,           0.0020391,             0.00208,             0.00208,             0.00208
                  14,            0.027569,            0.014357,            0.013238,             0.97834,             0.96429,             0.98316,             0.63636,            0.018143,           0.0037561,           0.0012986,             0.00142,             0.00142,             0.00142
