               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069857,            0.024631,            0.039886,            0.018155,           0.0053763,           0.0047689,           0.0010024,            0.050777,            0.010172,             0.02937,            0.070115,           0.0033206,           0.0033206
                   1,            0.063254,            0.024458,            0.038968,            0.034665,             0.40339,            0.040733,            0.010869,            0.040241,            0.011378,            0.027913,            0.039675,           0.0062148,           0.0062148
                   2,            0.055972,            0.023947,            0.036517,             0.26027,             0.57557,             0.30691,             0.10293,            0.035585,           0.0090149,            0.021496,           0.0087962,            0.008669,            0.008669
                   3,            0.048475,            0.022981,             0.03063,               0.504,             0.74539,             0.67566,             0.27513,            0.035154,           0.0076641,            0.014453,             0.00802,             0.00802,             0.00802
                   4,            0.042636,            0.020883,            0.025292,             0.79035,             0.77198,             0.83683,             0.42133,            0.030911,           0.0062332,           0.0083634,             0.00802,             0.00802,             0.00802
                   5,            0.038945,            0.018975,            0.022782,             0.79299,              0.8031,             0.83224,             0.40343,            0.028331,           0.0061646,           0.0038921,             0.00736,             0.00736,             0.00736
                   6,             0.03684,            0.017964,            0.020311,             0.89957,              0.8896,             0.92344,             0.50143,            0.026848,           0.0055256,           0.0046637,              0.0067,              0.0067,              0.0067
                   7,            0.034064,            0.016753,            0.018676,             0.96525,             0.95379,             0.97427,             0.58432,            0.022734,           0.0048491,           0.0030573,             0.00604,             0.00604,             0.00604
                   8,            0.032872,            0.016404,            0.017789,             0.92422,             0.94598,             0.95805,             0.58157,            0.019367,           0.0042736,           0.0021984,             0.00538,             0.00538,             0.00538
                   9,            0.031017,            0.015399,            0.016161,             0.98876,             0.98209,             0.98397,             0.61408,            0.020562,           0.0043262,           0.0015321,             0.00472,             0.00472,             0.00472
                  10,            0.029739,            0.014971,            0.015276,             0.95077,             0.95534,             0.98175,             0.64983,            0.018197,           0.0040042,            0.001533,             0.00406,             0.00406,             0.00406
                  11,            0.028887,            0.014729,            0.014271,             0.98569,             0.98196,             0.98769,             0.70656,            0.017171,           0.0036763,            0.001583,              0.0034,              0.0034,              0.0034
                  12,            0.027668,            0.014172,            0.013564,             0.99177,             0.97242,             0.98445,             0.68636,            0.018342,           0.0036961,           0.0014653,             0.00274,             0.00274,             0.00274
                  13,            0.026686,            0.013963,            0.012093,             0.99079,              0.9859,              0.9901,             0.67702,            0.016852,           0.0036697,          0.00079573,             0.00208,             0.00208,             0.00208
                  14,            0.026481,            0.013539,            0.012065,             0.99821,             0.97053,             0.98629,             0.73312,            0.015402,           0.0034357,           0.0013159,             0.00142,             0.00142,             0.00142
